5003;Archery range created/selected;
5011;Blacksmith created;
5012;Barracks created/selected;
5031;Monastary created/selected;
5032;Castle created/selected;
5043;Dock created/selected;
5045;Farm created/selected;
5061;Tower (any kind) created/selected;
5097;Mangonel line firing;
5100;Mill created/selected;
5110;Market created/selected;
5123;Town Center created/selected;
5127;Siege Workshop created/selected;
5134;Stable created/selected;
5164;Trade Workshop created/selected;
5229;University created/selected;
5272;Wall (any kind) created/selected;
5276;Outpost created/selected;
5284;Unknown- some sort of buzzer?;
5286;Arrow firing;
5287;Arrow firing;
5288;Arrow firing;
5289;Arrow firing;
5297;Wave crashing;
5298;Wave crashing;
5299;Unknown Soldier;
5300;Unknown- no clue;
5301;Villager chopping wood;
5302;Villager chopping wood;
5303;Villager chopping wood;
5304;Sword hacking;
5305;Sword hacking;
5306;Wall selected?;
5308;Unknown soldier;
5309;Unit Death;
5310;Unit Death;
5311;Unit Death;
5312;Unit Death;
5313;Unit Death;
5314;Unit Death;
5315;Unknown Unit Talking;
5316;Large Projectile Hitting Building;
5317;Large Projectile Hitting Building;
5318;Large Projectile Hitting Building;
5319;Unknown Useless Sound;
5320;Unknown Useless Sound;
5321;Unknown Useless Sound;
5322;Building on Fire;
5323;Building on Fire;
5324;Building on Fire;
5326;Gate Opening/Unlocked;
5327;Unknown Unit Talking;
5329;Unknown Unit Talking;
5330;Unit Grunting;
5331;Unknown- Menu Selection?;
5332;Unknown Useless Sound;
5333;Unknown Useless Sound;
5334;Unknown Useless Sound;
5335;Horseman Death;
5336;Horseman Death;
5337;Horseman Death;
5338;Unknown Unit Talking;
5339;Random Horseman Sound;
5343;Random Horseman Sound;
5344;Horseman Selected;
5345;Horseman Selected;
5346;Horseman Tasked (Hoofbeats);
5347;Unknown- Mill?;
5348;Unknown- Mill?;
5350;Mining Camp created/selected;
5351;Mining Camp created/selected;
5352;Mining Camp created/selected;
5353;Villager Created;
5354;Unknown Unit Talking;
5357;Unknown Unit Talking;
5358;Swords Clashing;
5359;Swords Clashing;
5360;Swords Clashing;
5361;Swords Clashing;
5362;Swords Clashing;
5363;Trade Cart Created/Selected;
5364;Trade Cart Created/Selected;
5365;Trade Cart Tasked;
5366;Trebuchet Created/Selected;
5367;Siege Weapon Destroyed;
5368;Trebuchet Firing;
5369;Unknown- Siege Weapon?;
5374;Unknown Useless Sound;
5412;Ship Destroyed;
5413;Ship Tasked;
5414;Ship Tasked;
5415;Ship Tasked;
5416;Dock/Ship Created/Selected;
5417;Ship Tasked;
5418;Unknown- Wall Created?;
5419;Random Horse Whinny;
5420;Random Horse Sound;
5421;Random Horse Sound;
5422;Random Horse Sound;
5423;Infantry/Archer/Horseman Created;
5425;Trebuchet Firing;
5426;Trebuchet Firing;
5427;Unknown- Identical to 5369;
